0;277.532502
0.000766825;281.92122
0.001655258;285.552079
0.002406209;287.9429094
0.003190419;290.862239
0.003928342;293.4458229
0.004703125;295.6072936
0.005465148;297.4467458
0.006254782;299.8175572
0.00694922;302.6076219
0.007643079;303.4243936
0.008387849;305.8918678
0.008952274;306.5462003
0.00956303;308.1826035
0.010067251;309.2287348
0.01072345;311.0790544
0.011337051;313.1106882
0.012030955;314.3244064
0.012713787;315.9476543
0.013267185;317.299789
0.013824896;318.5838593
0.014345168;319.9234107
0.015009637;321.815484
0.015645693;323.5062243
0.016334439;325.0762792
0.017022296;327.0163979
0.017780272;328.1723472
0.018524153;330.2011212
0.019267856;331.3376235
0.020039305;332.6966218
0.020758109;334.2981349
0.021506214;335.5724818
0.022288779;337.1282374
0.023015764;337.7173655
0.023781877;340.031552
0.024556438;340.897513
0.025338113;342.5081776
0.026061541;344.5461031
0.02683966;345.4555337
0.02761511;346.7825018
0.028342095;348.2250075
0.02911221;348.9291013
0.02985698;351.5275564
0.030642658;351.8690219
0.031444342;353.3487056
0.032195782;353.4682471
0.032975234;354.7408781
0.033703998;355.8739486
0.034460773;357.526939
0.035208212;356.9469624
0.036077036;359.0712552
0.036825364;359.9749662
0.037658173;361.121192
0.038436736;362.3057398
